Car X: 338.98, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.72
Car X: 332.99, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.73
Car X: 327.11, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.75
Car X: 321.27, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.77
Car X: 315.44, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.78
Car X: 309.60, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.80
Car X: 303.77, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.82
Car X: 297.91, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.83
Car X: 292.08, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.85
Car X: 286.24, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.87
Car X: 280.41, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.88
Car X: 274.58, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.90
Car X: 268.74, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.92
Car X: 262.91, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.93
Car X: 257.07, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.95
Car X: 251.24, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.97
Car X: 245.41, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 15.98
Car X: 239.57, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.00
Car X: 233.74, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.02
Car X: 227.91, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.03
Car X: 222.07, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.05
Car X: 216.24, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.07
Car X: 210.40, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.08
Car X: 204.57, Car Y: 315.02, Rotation: 90.00, Floor: 2, simTime : 16.10
