Car X: 77.50, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 3.94
Car X: 85.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 3.96
Car X: 92.50, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 3.97
Car X: 100.04, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 3.99
Car X: 107.54, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.01
Car X: 115.04, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.02
Car X: 122.54, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.04
Car X: 130.04, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.06
Car X: 137.54, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.07
Car X: 145.04, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.09
Car X: 152.54, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.11
Car X: 160.05, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.12
Car X: 167.55, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.14
Car X: 175.05, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.16
Car X: 182.55, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.17
Car X: 190.07, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.19
Car X: 197.80, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.21
Car X: 205.30, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.22
Car X: 212.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.24
Car X: 220.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.26
Car X: 227.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.27
Car X: 235.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.29
Car X: 242.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.31
Car X: 250.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.32
Car X: 257.84, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.34
Car X: 265.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.36
Car X: 272.84, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.37
Car X: 280.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.39
Car X: 287.84, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.41
Car X: 295.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.42
Car X: 302.84, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.44
Car X: 302.84, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.46
Car X: 310.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.47
Car X: 310.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.49
Car X: 310.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.51
Car X: 310.34, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 4.52
