Car X: 20.00, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.51, EntranceState: 1, EntranceAngle: -90.00, ExitState: 0, ExitAngle: 0.00
Car X: 25.83, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.52, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 31.67, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.54, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 31.67, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.56, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 37.51, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 37.51, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.59, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 37.51, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.61, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 43.34, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 49.18, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.64, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 49.18, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.66, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 49.18, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.67, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 49.18, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 5.69, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
