Car X: 20.00, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.33, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 25.83, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.35, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 31.67, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.36, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 37.50, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.38, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 43.34, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.40, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 49.17, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 55.00, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.43, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 60.84, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.45, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 66.67, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 66.67, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 72.51, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.50, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 72.51, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.51, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 78.34, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 84.93, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.55, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 90.76, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 90.76, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.58, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 96.63, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.60, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 96.63, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 102.47, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 102.47, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.65, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 108.31, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.67, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 108.31, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.69, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 108.31, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.70, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 114.22, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.72, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 120.06, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.74, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 125.89, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.75, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 125.89, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.77, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 131.72, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.79, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 131.72, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.80, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 131.72, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.82, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 137.56, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.84, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 143.39, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.85, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 143.39, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.87, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 150.04, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.89, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 150.04, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.91, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 155.87, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.92, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 155.87, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.94, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 161.71, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.96, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 161.71, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.97, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 161.71, Car Y: 75.00, Rotation: -90.00, Floor: 2, simTime : 8.99, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
